cliente_id,venda_id,produto_id,valor,data_venda,nome,data_nascimento
663,126,109,421.75,2023-04-29,Rollie,1994-08-22
850,211,107,1006.13,2023-04-29,Randell,2017-01-29
295,343,112,883.97,2023-04-29,Sampson,2000-08-15
971,433,136,1424.34,2023-04-29,Millisent,2002-04-21
6,714,141,501.41,2023-04-29,Chelsie,2004-07-25
216,884,130,1038.95,2023-04-29,Nina,2013-04-12
262,894,130,1142.38,2023-04-29,Nevile,2023-02-23
685,1102,147,182.52,2023-04-29,Phineas,2002-12-04
194,1178,104,556.66,2023-04-29,Alexandre,2011-01-11
447,1244,142,636.73,2023-04-29,Mathilda,1981-02-01
736,1247,125,411.58,2023-04-29,Alric,2001-07-24
974,1388,116,31.31,2023-04-29,Bambie,1966-05-19
522,1408,132,225.31,2023-04-29,Jerad,2017-10-28
395,1525,100,1373.4,2023-04-29,Fanny,1953-10-11
849,2069,130,180.58,2023-04-29,Bink,2012-08-06
400,2153,124,66.53,2023-04-29,Townie,1960-12-28
745,2248,149,519.5,2023-04-29,Felicdad,1998-07-23
905,2500,139,288.48,2023-04-29,Dorey,2006-07-05
562,2691,103,34.44,2023-04-29,Anders,2022-10-02
690,2886,127,708.04,2023-04-29,Timofei,2009-08-12
713,2990,122,572.73,2023-04-29,Isahella,1975-06-18
534,3557,138,978.66,2023-04-29,Darryl,1951-06-30
712,3730,100,511.97,2023-04-29,Aluin,2011-07-09
497,4473,133,1390.89,2023-04-29,Rebecka,2019-11-01
471,4981,134,862.32,2023-04-29,Franny,1955-09-11
609,5210,146,1396.6,2023-04-29,Dehlia,1965-12-12
303,5952,105,483.05,2023-04-29,Nefen,1983-02-07
424,5993,144,1111.01,2023-04-29,Torey,1980-11-09
97,6099,134,1198.54,2023-04-29,Freeman,2001-08-07
583,6129,149,520.44,2023-04-29,Asher,1958-04-15
957,6159,143,1254.68,2023-04-29,Giffie,1970-03-23
343,6378,143,310.82,2023-04-29,Tova,1975-12-09
488,6633,121,1036.32,2023-04-29,Fowler,1991-11-19
354,6798,143,244.88,2023-04-29,Josias,1952-10-31
829,6842,135,692.28,2023-04-29,Maggi,1990-03-27
839,7577,137,96.76,2023-04-29,Briny,2000-05-14
44,7813,100,1082.04,2023-04-29,Dari,2003-03-21
197,7941,131,770.73,2023-04-29,Mariya,2021-01-27
755,8203,145,863.05,2023-04-29,Sybyl,1998-11-04
500,8317,133,164.37,2023-04-29,Dun,2016-02-18
737,8862,134,909.76,2023-04-29,Tillie,2023-01-11
505,9221,102,867.23,2023-04-29,Carolin,2012-03-22
60,9241,107,603.4,2023-04-29,Laurence,1974-12-31
561,9258,141,1238.97,2023-04-29,Ludovico,2009-09-15
653,9356,112,858.09,2023-04-29,Rheba,1957-03-28
293,9899,108,810.44,2023-04-29,Kimberly,2021-07-28
854,10143,140,479.0,2023-04-29,Langston,2006-06-27
51,10156,112,1403.08,2023-04-29,Felice,2015-03-29
651,10189,110,644.52,2023-04-29,Collette,2020-11-28
930,10284,138,74.74,2023-04-29,Vidovik,1991-11-18
67,10450,123,1432.25,2023-04-29,Egbert,2014-05-09
623,10653,111,1095.84,2023-04-29,Maximilianus,1988-06-18
707,11355,126,674.37,2023-04-29,Leela,1983-11-10
594,11504,148,260.76,2023-04-29,Morgun,1957-08-14
142,11737,141,880.8,2023-04-29,Hasheem,1986-03-31
885,11891,111,1080.56,2023-04-29,Dominick,1983-06-04
250,12042,136,1111.5,2023-04-29,Alie,1989-11-06
528,12356,121,316.87,2023-04-29,Johanna,1959-04-17
517,12491,100,398.12,2023-04-29,Louis,2015-04-22
290,12964,105,1182.32,2023-04-29,Monroe,2017-02-14
506,13358,135,98.62,2023-04-29,Bryna,1971-07-28
289,13553,131,279.09,2023-04-29,Constantino,2011-05-27
187,13662,143,858.37,2023-04-29,Davidson,1996-06-19
880,14125,122,593.53,2023-04-29,Tiffanie,2023-07-02
316,14151,142,1032.12,2023-04-29,Ailis,1961-04-13
34,14345,121,1341.91,2023-04-29,Silvie,1975-03-12
602,14588,121,862.32,2023-04-29,Denney,1983-10-22
943,15099,128,49.75,2023-04-29,Terrill,2014-04-19
810,15401,132,405.98,2023-04-29,Aile,2003-06-23
79,15491,122,366.92,2023-04-29,Iolande,1985-03-15
880,15548,132,148.23,2023-04-29,Tiffanie,2023-07-02
76,15660,142,975.32,2023-04-29,Gilligan,1987-03-07
343,15891,112,736.76,2023-04-29,Tova,1975-12-09
361,16157,109,245.16,2023-04-29,Car,1960-09-07
