cliente_id,venda_id,produto_id,valor,data_venda,nome,data_nascimento
913,563,116,376.53,2023-02-02,Jerald,1980-12-26
826,576,121,822.47,2023-02-02,Wilbert,2011-10-21
607,869,119,1307.29,2023-02-02,Harriot,2017-03-11
994,1162,147,1104.04,2023-02-02,Gregoire,1962-05-18
735,1197,132,667.88,2023-02-02,Dexter,2000-05-10
331,1213,108,1088.27,2023-02-02,Misty,2012-11-02
140,1273,143,385.64,2023-02-02,Tammy,1959-05-08
447,1277,140,32.35,2023-02-02,Mathilda,1981-02-01
455,1459,120,1256.21,2023-02-02,Mirabel,1982-08-01
542,1472,142,1130.49,2023-02-02,Mela,2019-03-21
109,1495,147,1459.56,2023-02-02,Lemuel,1976-12-02
192,1688,135,453.28,2023-02-02,Pia,1959-08-05
61,1787,121,137.23,2023-02-02,Debee,1966-04-17
538,2158,113,699.22,2023-02-02,Cozmo,1956-08-27
941,2181,116,1310.31,2023-02-02,Tandy,1990-08-09
362,2314,104,1273.58,2023-02-02,Dusty,1960-03-01
808,2430,112,1174.76,2023-02-02,Kylen,1975-09-12
53,2537,147,332.06,2023-02-02,Nikolai,1967-05-11
327,2648,149,1364.9,2023-02-02,Vally,1981-04-11
227,2670,138,1165.25,2023-02-02,Cale,2014-10-02
647,3152,120,1075.46,2023-02-02,Artemis,1951-02-21
286,3358,111,1111.33,2023-02-02,Gates,1987-05-26
444,3375,119,1164.85,2023-02-02,Demott,2011-04-20
941,3452,121,956.63,2023-02-02,Tandy,1990-08-09
779,3458,128,239.19,2023-02-02,Nehemiah,2019-08-15
655,3464,126,35.45,2023-02-02,Ollie,2010-11-21
909,3690,129,468.84,2023-02-02,Juline,2006-11-04
722,4318,126,882.71,2023-02-02,Thomas,2015-08-25
600,4448,123,805.59,2023-02-02,Danya,1973-07-06
233,4494,132,1498.07,2023-02-02,Tildi,2023-06-01
753,4731,149,867.3,2023-02-02,Trisha,1987-09-27
764,4802,130,121.82,2023-02-02,Halley,2006-05-15
70,5251,144,986.49,2023-02-02,Anne,2006-01-29
356,5632,136,288.93,2023-02-02,Erinn,1981-05-10
531,5680,109,694.72,2023-02-02,Jan,2011-04-13
207,5775,133,963.22,2023-02-02,Whitaker,1951-12-16
227,5945,121,1025.89,2023-02-02,Cale,2014-10-02
47,6047,104,735.33,2023-02-02,Portia,2021-02-11
857,6223,119,867.65,2023-02-02,Laina,2000-05-18
634,6399,118,910.74,2023-02-02,Val,1988-10-24
982,6505,119,437.31,2023-02-02,Adrienne,1971-01-09
195,6585,142,510.85,2023-02-02,Becki,1999-01-07
504,6706,102,664.32,2023-02-02,Marcus,1954-05-14
751,6870,102,671.76,2023-02-02,Sean,1986-09-01
932,7368,101,173.73,2023-02-02,Marnie,1963-12-31
38,7491,142,162.93,2023-02-02,Kimbell,2004-11-08
874,7631,133,674.5,2023-02-02,Wanids,1998-07-17
793,7812,118,360.2,2023-02-02,Waylin,1969-12-14
873,7952,136,1467.01,2023-02-02,Meredithe,2009-02-07
408,8064,105,1071.07,2023-02-02,Cory,2000-11-15
374,8606,114,867.82,2023-02-02,Marice,1958-01-30
140,8677,118,114.31,2023-02-02,Tammy,1959-05-08
608,8702,118,800.58,2023-02-02,Claybourne,1957-09-05
481,8930,130,1260.47,2023-02-02,Siouxie,1976-11-14
410,9113,123,1304.09,2023-02-02,Delmar,2023-07-29
203,9242,127,1424.98,2023-02-02,Nance,1981-02-22
37,9470,127,772.55,2023-02-02,Fonz,1978-01-01
288,9589,113,1074.16,2023-02-02,Tarrance,1993-08-12
926,10008,144,398.13,2023-02-02,Huntlee,1958-09-09
412,10088,108,713.24,2023-02-02,Nike,2015-04-28
65,10172,138,1259.39,2023-02-02,Lizzy,1981-05-14
358,10613,145,432.86,2023-02-02,Hildegaard,1974-05-17
222,10672,116,1259.1,2023-02-02,Sonnie,1980-07-15
952,10987,109,908.9,2023-02-02,Cherrita,2020-12-14
783,11005,138,880.93,2023-02-02,Peggy,1985-11-24
195,11075,124,107.89,2023-02-02,Becki,1999-01-07
817,11122,138,368.66,2023-02-02,Noella,1973-10-20
66,11148,145,227.12,2023-02-02,Aleen,1968-02-26
365,11605,119,1292.22,2023-02-02,Carmelina,1964-10-30
79,12023,104,185.89,2023-02-02,Iolande,1985-03-15
203,12313,117,736.05,2023-02-02,Nance,1981-02-22
8,12368,104,227.62,2023-02-02,Marcus,2021-05-12
364,12384,142,768.01,2023-02-02,Chip,2025-09-05
117,12485,138,941.0,2023-02-02,Abey,2014-10-16
339,12507,119,1260.86,2023-02-02,Almeda,1960-11-05
868,12513,114,1043.75,2023-02-02,Wilow,2010-11-01
705,12759,123,745.34,2023-02-02,Cad,1992-11-08
275,12854,128,544.81,2023-02-02,Truman,2018-07-18
401,12875,117,574.95,2023-02-02,Andie,1954-04-10
803,13198,113,552.63,2023-02-02,Jacky,1951-09-18
250,13410,118,514.81,2023-02-02,Alie,1989-11-06
809,13676,106,1375.07,2023-02-02,Becky,1998-07-22
345,13788,137,1415.63,2023-02-02,Jacques,1982-08-28
910,13823,116,1447.51,2023-02-02,Graig,1964-04-27
16,14218,134,584.31,2023-02-02,Stevana,2018-04-10
964,14286,123,1347.2,2023-02-02,D'arcy,1955-05-05
295,14337,117,220.93,2023-02-02,Sampson,2000-08-15
591,14358,108,266.01,2023-02-02,Josie,2024-01-23
534,14704,100,585.93,2023-02-02,Darryl,1951-06-30
614,14895,150,293.8,2023-02-02,Coriss,2018-12-23
551,14943,143,547.93,2023-02-02,Michael,1964-06-23
360,16144,106,823.64,2023-02-02,Jaynell,1992-07-06
44,16388,107,1441.05,2023-02-02,Dari,2003-03-21
443,16701,142,983.93,2023-02-02,Vaughn,2023-10-22
638,16711,118,277.46,2023-02-02,Isidore,1964-11-20
492,16804,134,393.48,2023-02-02,Beau,1995-12-02
975,17018,127,890.6,2023-02-02,Layne,2013-04-26
233,17027,112,367.07,2023-02-02,Tildi,2023-06-01
886,17187,114,1473.46,2023-02-02,Silvan,1955-05-28
245,17294,136,356.54,2023-02-02,Harry,1966-02-05
851,17333,148,410.96,2023-02-02,Floria,1986-07-22
5,17432,133,1163.7,2023-02-02,Derrek,1969-12-30
556,17482,126,842.09,2023-02-02,Tedie,1968-10-23
208,17754,139,671.75,2023-02-02,Carleen,2025-08-25
750,17978,100,558.69,2023-02-02,Cynthia,2021-06-14
416,18123,142,156.85,2023-02-02,Cristine,2011-08-03
607,18154,119,1280.22,2023-02-02,Harriot,2017-03-11
862,18216,119,1414.81,2023-02-02,Ailina,1956-05-09
561,18270,139,950.73,2023-02-02,Ludovico,2009-09-15
252,18327,123,81.78,2023-02-02,Carolus,2001-07-05
782,18328,136,411.58,2023-02-02,Romola,1987-02-24
934,18956,139,953.84,2023-02-02,Maggie,2017-01-13
326,19203,148,1025.77,2023-02-02,Ralina,1969-05-30
154,19821,125,518.76,2023-02-02,Elfreda,2016-09-15
224,19883,135,769.09,2023-02-02,Francyne,1971-02-17
161,19970,137,1191.99,2023-02-02,Mart,2014-12-09
374,20007,130,963.41,2023-02-02,Marice,1958-01-30
56,20110,150,88.52,2023-02-02,Gaelan,1989-11-06
356,20219,114,1376.66,2023-02-02,Erinn,1981-05-10
131,20660,121,860.8,2023-02-02,Perl,2015-02-21
890,20954,135,442.55,2023-02-02,Erda,1954-05-06
315,21029,103,713.56,2023-02-02,Randa,1954-01-09
115,21127,115,379.21,2023-02-02,Leandra,1975-03-23
231,21254,142,402.56,2023-02-02,Kevon,1989-06-10
34,21355,126,1346.3,2023-02-02,Silvie,1975-03-12
920,21560,138,689.54,2023-02-02,Carlin,1976-12-01
9,21592,122,46.77,2023-02-02,Derby,1972-06-12
961,22074,104,450.09,2023-02-02,Auberta,1969-05-25
233,22122,150,335.14,2023-02-02,Tildi,2023-06-01
36,22438,123,1434.26,2023-02-02,Therese,1988-02-25
782,22739,109,867.3,2023-02-02,Romola,1987-02-24
203,22765,115,901.49,2023-02-02,Nance,1981-02-22
367,22796,139,627.97,2023-02-02,Mersey,1970-01-31
34,22928,101,468.35,2023-02-02,Silvie,1975-03-12
818,23039,101,1255.23,2023-02-02,Deana,1961-04-27
986,23201,133,98.1,2023-02-02,Ilaire,1968-03-06
258,23746,101,1208.63,2023-02-02,Gustav,1987-03-21
489,24039,111,819.68,2023-02-02,Danice,2009-11-24
13,24160,124,92.92,2023-02-02,Harold,1999-09-10
664,24239,100,1323.03,2023-02-02,Shanan,1952-09-29
515,24940,125,1452.54,2023-02-02,Jannelle,2007-05-06
309,25016,133,664.37,2023-02-02,Pris,1956-09-02
612,25251,127,313.55,2023-02-02,Ashlen,1968-07-30
935,25387,112,1462.82,2023-02-02,Kelbee,2016-12-25
625,26167,133,19.87,2023-02-02,Berke,1992-01-26
65,26278,135,1377.03,2023-02-02,Lizzy,1981-05-14
604,26405,146,1321.99,2023-02-02,Camila,1977-09-02
745,26458,116,131.54,2023-02-02,Felicdad,1998-07-23
832,26482,130,338.32,2023-02-02,Ermanno,1992-07-02
104,26509,149,687.15,2023-02-02,Joella,1974-05-08
146,26516,104,1169.3,2023-02-02,Brynn,1987-10-23
680,26680,148,31.08,2023-02-02,Star,1979-02-15
